,x,y,bedrock_altitude (m)
0,-1619999.8,-249999.72,-570.7990713718447
1,-1619499.8,-249999.72,-430.9359148684304
2,-1618999.8,-249999.72,-370.5905839700321
3,-1618499.8,-249999.72,-255.91571950057678
4,-1617999.8,-249999.72,-289.27039632874755
5,-1617499.8,-249999.72,-353.12185510424604
6,-1616999.8,-249999.72,-430.12921453366096
7,-1616499.8,-249999.72,-503.7213890821994
8,-1615999.8,-249999.72,-441.67020302549065
9,-1615499.8,-249999.72,-393.60351353092375
10,-1614999.8,-249999.72,-224.09031331332145
11,-1614499.8,-249999.72,-247.9507616143708
12,-1613999.8,-249999.72,-90.37554333021329
13,-1613499.8,-249999.72,-278.97564918353316
14,-1612999.8,-249999.72,-353.3913497819785
15,-1612499.8,-249999.72,-295.9539835494903
16,-1611999.8,-249999.72,-56.47238349501893
17,-1611499.8,-249999.72,-93.45093965127839
18,-1610999.8,-249999.72,-223.79259184700686
19,-1610499.8,-249999.72,-381.24994300652605
20,-1609999.8,-249999.72,-578.5203738375876
21,-1609499.8,-249999.72,-582.1866465701122
22,-1608999.8,-249999.72,-495.50123238273244
23,-1608499.8,-249999.72,-505.0178521455954
24,-1607999.8,-249999.72,-438.9710671855588
25,-1607499.8,-249999.72,-289.1483537892365
26,-1606999.8,-249999.72,-273.91352298695193
27,-1606499.8,-249999.72,-259.8748904547474
28,-1605999.8,-249999.72,-256.77498686218036
29,-1605499.8,-249999.72,-328.56007895089215
30,-1604999.8,-249999.72,-462.61035360587965
31,-1604499.8,-249999.72,-469.45370113494164
32,-1603999.8,-249999.72,-429.25567138945866
33,-1603499.8,-249999.72,-108.08577887625728
34,-1602999.8,-249999.72,-171.4117609270886
35,-1602499.8,-249999.72,-59.22143167805523
36,-1601999.8,-249999.72,-231.16163504923372
37,-1601499.8,-249999.72,-208.54168092986959
38,-1600999.8,-249999.72,-216.99554396485513
39,-1600499.8,-249999.72,-97.45955501502945
40,-1599999.8,-249999.72,-224.20645236552963
41,-1599499.8,-249999.72,-283.7396238793696
42,-1598999.8,-249999.72,-359.1621403633726
43,-1598499.8,-249999.72,-496.1170145490107
44,-1597999.8,-249999.72,-587.386971155175
45,-1597499.8,-249999.72,-646.0210733225323
46,-1596999.8,-249999.72,-637.734233875244
47,-1596499.8,-249999.72,-787.4070976007282
48,-1595999.8,-249999.72,-766.8416659492677
49,-1595499.8,-249999.72,-697.6559314809459
50,-1594999.8,-249999.72,-653.8300069627608
51,-1594499.8,-249999.72,-657.153345655089
52,-1593999.8,-249999.72,-732.0999873582498
53,-1593499.8,-249999.72,-744.2199714349042
54,-1592999.8,-249999.72,-772.3428139850586
55,-1592499.8,-249999.72,-826.6800050106999
56,-1591999.8,-249999.72,-935.1679261853808
57,-1591499.8,-249999.72,-950.0785392634506
58,-1590999.8,-249999.72,-1111.9232466177607
59,-1590499.8,-249999.72,-995.5688041733479
60,-1589999.8,-249999.72,-1052.364523449275
61,-1589499.8,-249999.72,-1110.340432778047
62,-1588999.8,-249999.72,-1174.9692252965413
63,-1588499.8,-249999.72,-1164.9414231151898
64,-1587999.8,-249999.72,-1192.6394064908022
65,-1587499.8,-249999.72,-1204.009037527965
66,-1586999.8,-249999.72,-1288.9822214348508
67,-1586499.8,-249999.72,-1287.0239167054622
68,-1585999.8,-249999.72,-1288.9487391066052
69,-1585499.8,-249999.72,-1295.9671844723302
70,-1584999.8,-249999.72,-1270.0848957583373
71,-1584499.8,-249999.72,-1250.0931991297614
72,-1583999.8,-249999.72,-1294.7844292951636
73,-1583499.8,-249999.72,-1311.1037646225857
74,-1582999.8,-249999.72,-1268.6201620311474
75,-1582499.8,-249999.72,-1257.0600551464722
76,-1581999.8,-249999.72,-1269.8635337158676
77,-1581499.8,-249999.72,-1297.4028433355402
78,-1580999.8,-249999.72,-1287.0431266872702
79,-1580499.8,-249999.72,-1282.8767895030794
80,-1579999.8,-249999.72,-1303.6267647838738
81,-1579499.8,-249999.72,-1290.3234536357324
82,-1578999.8,-249999.72,-1284.3508293330697
83,-1578499.8,-249999.72,-1301.4665849796088
84,-1577999.8,-249999.72,-1288.6370021253276
85,-1577499.8,-249999.72,-1236.53142944756
86,-1576999.8,-249999.72,-1247.4727848758503
87,-1576499.8,-249999.72,-1250.350964803641
88,-1575999.8,-249999.72,-1231.6073364299734
89,-1575499.8,-249999.72,-1144.238569251226
90,-1574999.8,-249999.72,-1193.7632646242744
91,-1574499.8,-249999.72,-1175.2142434106174
92,-1573999.8,-249999.72,-1031.728280919024
93,-1573499.8,-249999.72,-1089.9423261052837
94,-1572999.8,-249999.72,-1137.009038405433
95,-1572499.8,-249999.72,-1120.1870035841373
96,-1571999.8,-249999.72,-1168.2110545651776
97,-1571499.8,-249999.72,-1120.0518886335974
98,-1570999.8,-249999.72,-1115.0542026878518
99,-1570499.8,-249999.72,-1026.9633360640241
100,-1569999.8,-249999.72,-1136.1503371273861
101,-1569499.8,-249999.72,-983.531163923199
102,-1568999.8,-249999.72,-981.270732798596
103,-1568499.8,-249999.72,-1059.0564022533351
104,-1567999.8,-249999.72,-908.5929311350263
105,-1567499.8,-249999.72,-1127.0223889676256
106,-1566999.8,-249999.72,-1028.679809192752
107,-1566499.8,-249999.72,-1014.8427490914406
108,-1565999.8,-249999.72,-1045.9412981147884
109,-1565499.8,-249999.72,-943.4935971069342
110,-1564999.8,-249999.72,-769.9962442215763
111,-1564499.8,-249999.72,-775.8854822054398
