,x,y,bedrock_altitude (m)
114,-1562999.8,-249999.72,-638.790871441145
115,-1562499.8,-249999.72,-579.0262177331302
116,-1561999.8,-249999.72,-570.3274619956809
117,-1561499.8,-249999.72,-487.0459998559791
118,-1560999.8,-249999.72,-600.4486203357447
119,-1560499.8,-249999.72,-715.1070177816981
120,-1559999.8,-249999.72,-569.6558656611895
121,-1559499.8,-249999.72,-618.6342879090959
122,-1558999.8,-249999.72,-595.9756086706957
123,-1558499.8,-249999.72,-663.3834008807438
124,-1557999.8,-249999.72,-745.0155498733357
125,-1557499.8,-249999.72,-431.2790618129374
126,-1556999.8,-249999.72,-387.86660582214284
127,-1556499.8,-249999.72,-394.93321360251724
128,-1555999.8,-249999.72,-511.87983852770634
129,-1555499.8,-249999.72,-487.8658477093257
130,-1554999.8,-249999.72,-719.9534739133626
131,-1554499.8,-249999.72,-780.5979419168351
132,-1553999.8,-249999.72,-723.2767136914491
133,-1553499.8,-249999.72,-683.0953200528191
134,-1552999.8,-249999.72,-905.1551643689576
135,-1552499.8,-249999.72,-835.4079696989778
136,-1551999.8,-249999.72,-951.761151250126
137,-1551499.8,-249999.72,-1052.2260921151867
138,-1550999.8,-249999.72,-1050.5172805072352
139,-1550499.8,-249999.72,-892.8595503486727
140,-1549999.8,-249999.72,-946.3194977793529
141,-1549499.8,-249999.72,-926.1059708908181
142,-1548999.8,-249999.72,-858.9327514642779
143,-1548499.8,-249999.72,-731.9247365410429
144,-1547999.8,-249999.72,-654.2358076758636
145,-1547499.8,-249999.72,-754.0803301411722
146,-1546999.8,-249999.72,-854.419972626586
147,-1546499.8,-249999.72,-848.0684331002623
148,-1545999.8,-249999.72,-837.0144531266353
149,-1545499.8,-249999.72,-841.2691716851592
150,-1544999.8,-249999.72,-832.0987626143891
151,-1544499.8,-249999.72,-804.2271880580595
152,-1543999.8,-249999.72,-774.8760785668886
153,-1543499.8,-249999.72,-771.6262951863063
154,-1542999.8,-249999.72,-839.4370408082882
155,-1542499.8,-249999.72,-894.2522297880685
156,-1541999.8,-249999.72,-928.3249478426445
157,-1541499.8,-249999.72,-952.9812295308076
158,-1540999.8,-249999.72,-958.8920271659681
159,-1540499.8,-249999.72,-969.6947488016191
160,-1539999.8,-249999.72,-982.0336219839662
161,-1539499.8,-249999.72,-995.8369018558399
162,-1538999.8,-249999.72,-1006.6929696308498
163,-1538499.8,-249999.72,-1032.5609281342686
164,-1537999.8,-249999.72,-1046.056395662534
165,-1537499.8,-249999.72,-1054.3359442716699
166,-1536999.8,-249999.72,-1055.099960236167
167,-1536499.8,-249999.72,-1063.217771769504
168,-1535999.8,-249999.72,-1118.1154782005508
169,-1535499.8,-249999.72,-945.6029559966951
170,-1534999.8,-249999.72,-985.41338261735
171,-1534499.8,-249999.72,-983.2503754189838
172,-1533999.8,-249999.72,-1042.2826253917347
173,-1533499.8,-249999.72,-984.0600054103923
174,-1532999.8,-249999.72,-869.5384445367838
175,-1532499.8,-249999.72,-799.5000172605243
176,-1531999.8,-249999.72,-856.6805973283466
177,-1531499.8,-249999.72,-869.4715459667914
178,-1530999.8,-249999.72,-878.6562793896522
179,-1530499.8,-249999.72,-870.0682029438524
180,-1529999.8,-249999.72,-903.9109969423419
181,-1529499.8,-249999.72,-849.371502043399
182,-1528999.8,-249999.72,-875.5211802809616
183,-1528499.8,-249999.72,-980.4352596003168
184,-1527999.8,-249999.72,-980.4823141343753
185,-1527499.8,-249999.72,-881.8443324979345
186,-1526999.8,-249999.72,-915.7075479583508
187,-1526499.8,-249999.72,-774.9450939820347
188,-1525999.8,-249999.72,-781.0683663672352
189,-1525499.8,-249999.72,-784.9574357566856
190,-1524999.8,-249999.72,-739.2041544822085
191,-1524499.8,-249999.72,-916.4235183094664
192,-1523999.8,-249999.72,-834.596034447511
193,-1523499.8,-249999.72,-841.5019530302972
194,-1522999.8,-249999.72,-767.6488210764562
195,-1522499.8,-249999.72,-756.4244487484731
196,-1521999.8,-249999.72,-731.5893957844718
197,-1521499.8,-249999.72,-714.2497133582177
198,-1520999.8,-249999.72,-754.7294430006381
199,-1520499.8,-249999.72,-669.867454322358
200,-1619999.8,-249499.72,-75.30913579726604
201,-1619499.8,-249499.72,-265.0584392388721
202,-1618999.8,-249499.72,-321.561058766932
203,-1618499.8,-249499.72,-498.79759726030943
204,-1617999.8,-249499.72,-570.6555065460335
205,-1617499.8,-249499.72,-405.22142860819565
206,-1616999.8,-249499.72,-570.2299067384646
207,-1616499.8,-249499.72,-481.1401148534047
208,-1615999.8,-249499.72,-517.7848925208727
209,-1615499.8,-249499.72,-507.58893254486907
210,-1614999.8,-249499.72,-519.7991374300466
211,-1614499.8,-249499.72,-400.8415903655422
212,-1613999.8,-249499.72,-452.20146987592443
213,-1613499.8,-249499.72,-554.8023740098749
214,-1612999.8,-249499.72,-582.024940053511
215,-1612499.8,-249499.72,-345.4814289921521
216,-1611999.8,-249499.72,-589.3628860171848
217,-1611499.8,-249499.72,-513.200807432981
218,-1610999.8,-249499.72,-367.9083305919602
219,-1610499.8,-249499.72,-435.2738359603826
220,-1609999.8,-249499.72,-360.68533942947874
221,-1609499.8,-249499.72,-319.4314414076897
222,-1608999.8,-249499.72,-218.87877735598735
223,-1608499.8,-249499.72,-335.89504432671305
224,-1607999.8,-249499.72,-300.6891874961116
225,-1607499.8,-249499.72,-394.98636899840477
226,-1606999.8,-249499.72,-276.59432852659006
227,-1606499.8,-249499.72,-291.4309353259513
228,-1605999.8,-249499.72,-250.89986307052396
229,-1605499.8,-249499.72,-263.5166931340738
230,-1604999.8,-249499.72,-298.277253506187
231,-1604499.8,-249499.72,-163.9356971212469
232,-1603999.8,-249499.72,-438.92268854594806
233,-1603499.8,-249499.72,-319.38436021243064
234,-1602999.8,-249499.72,-135.34348653180842
235,-1602499.8,-249499.72,-259.3706592102925
