,x,y,bedrock_altitude (m)
0,-1619999.8,-249999.72,295.5913196354984
1,-1619499.8,-249999.72,241.74541512516302
2,-1618999.8,-249999.72,83.52124536849806
3,-1618499.8,-249999.72,60.60580002931735
4,-1617999.8,-249999.72,37.4670533171459
5,-1617499.8,-249999.72,28.106276316549213
6,-1616999.8,-249999.72,-0.9958156756023634
7,-1616499.8,-249999.72,-203.19467023392923
8,-1615999.8,-249999.72,-109.49913799705536
9,-1615499.8,-249999.72,-166.31200278929936
10,-1614999.8,-249999.72,-151.5216593685476
11,-1614499.8,-249999.72,-195.42306616153002
12,-1613999.8,-249999.72,-139.51773499250874
13,-1613499.8,-249999.72,-178.28560746530363
14,-1612999.8,-249999.72,-160.95340214931412
15,-1612499.8,-249999.72,-278.64412075771935
16,-1611999.8,-249999.72,-415.79099543925764
17,-1611499.8,-249999.72,-401.58608463588644
18,-1610999.8,-249999.72,-329.66969847800993
19,-1610499.8,-249999.72,-328.0926540861292
20,-1609999.8,-249999.72,-210.68842333364623
21,-1609499.8,-249999.72,-112.42904468982098
22,-1608999.8,-249999.72,-23.425658647645072
23,-1608499.8,-249999.72,10.461218373284833
24,-1607999.8,-249999.72,26.768359704100043
25,-1607499.8,-249999.72,38.81086743484666
26,-1606999.8,-249999.72,-67.69569320785075
27,-1606499.8,-249999.72,-259.8748904547474
28,-1605999.8,-249999.72,-303.9935766577633
29,-1605499.8,-249999.72,-293.1663088331399
30,-1604999.8,-249999.72,-169.29797896261326
31,-1604499.8,-249999.72,4.311016762081904
32,-1603999.8,-249999.72,-25.689365627502248
33,-1603499.8,-249999.72,-91.0796671193398
34,-1602999.8,-249999.72,-215.32208494458652
35,-1602499.8,-249999.72,-254.99040609310595
36,-1601999.8,-249999.72,-231.16163504923372
37,-1601499.8,-249999.72,-137.54006405601504
38,-1600999.8,-249999.72,-200.773357398579
39,-1600499.8,-249999.72,-262.6787394653
40,-1599999.8,-249999.72,-224.20645236552963
41,-1599499.8,-249999.72,-229.88400670767496
42,-1598999.8,-249999.72,-96.68375669121514
43,-1598499.8,-249999.72,-394.91109589684254
44,-1597999.8,-249999.72,-321.1512141939815
45,-1597499.8,-249999.72,-612.2607987256636
46,-1596999.8,-249999.72,-579.2406915818272
47,-1596499.8,-249999.72,-558.8329182698096
48,-1595999.8,-249999.72,-637.8691414622091
49,-1595499.8,-249999.72,-665.7701548628479
50,-1594999.8,-249999.72,-653.8300069627608
51,-1594499.8,-249999.72,-641.7102086615496
52,-1593999.8,-249999.72,-732.0999873582498
53,-1593499.8,-249999.72,-744.2199714349042
54,-1592999.8,-249999.72,-772.3428139850586
55,-1592499.8,-249999.72,-826.6800050106999
56,-1591999.8,-249999.72,-1138.8620615169257
57,-1591499.8,-249999.72,-1222.845118673326
58,-1590999.8,-249999.72,-1274.307384341959
59,-1590499.8,-249999.72,-1291.9423294359644
60,-1589999.8,-249999.72,-1230.2236671484384
61,-1589499.8,-249999.72,-1261.7613766147292
62,-1588999.8,-249999.72,-1309.4906584349728
63,-1588499.8,-249999.72,-1296.12312643256
64,-1587999.8,-249999.72,-1245.3025795254723
65,-1587499.8,-249999.72,-1204.009037527965
66,-1586999.8,-249999.72,-1265.3501787815553
67,-1586499.8,-249999.72,-1295.6225797372347
68,-1585999.8,-249999.72,-1334.9656486967763
69,-1585499.8,-249999.72,-1355.127902842697
70,-1584999.8,-249999.72,-1394.884953622299
71,-1584499.8,-249999.72,-1355.1764305928186
72,-1583999.8,-249999.72,-1318.7971433576818
73,-1583499.8,-249999.72,-1310.9373683831384
74,-1582999.8,-249999.72,-1279.6606002258507
75,-1582499.8,-249999.72,-1257.0600551464722
76,-1581999.8,-249999.72,-1269.8635337158676
77,-1581499.8,-249999.72,-1273.3905111251668
78,-1580999.8,-249999.72,-1300.9364747651248
79,-1580499.8,-249999.72,-1310.8910319224487
80,-1579999.8,-249999.72,-1342.2812783410359
81,-1579499.8,-249999.72,-1330.1589962171513
82,-1578999.8,-249999.72,-1355.5457660287766
83,-1578499.8,-249999.72,-1317.3629244134327
84,-1577999.8,-249999.72,-1304.8455424336664
85,-1577499.8,-249999.72,-1296.9487768469287
86,-1576999.8,-249999.72,-1247.4727848758503
87,-1576499.8,-249999.72,-1282.9147953983402
88,-1575999.8,-249999.72,-1231.8793482194042
89,-1575499.8,-249999.72,-1243.7055102443235
90,-1574999.8,-249999.72,-1250.756944173661
91,-1574499.8,-249999.72,-1175.2142434106174
92,-1573999.8,-249999.72,-1195.1995151174813
93,-1573499.8,-249999.72,-1176.3916890289663
94,-1572999.8,-249999.72,-1137.009038405433
95,-1572499.8,-249999.72,-1120.1870035841373
96,-1571999.8,-249999.72,-1168.2110545651776
97,-1571499.8,-249999.72,-1120.0518886335974
98,-1570999.8,-249999.72,-1115.0542026878518
99,-1570499.8,-249999.72,-1127.7380594896701
100,-1569999.8,-249999.72,-1139.281192479787
101,-1569499.8,-249999.72,-1083.5126221285987
102,-1568999.8,-249999.72,-1124.9125498369588
103,-1568499.8,-249999.72,-1175.7918448930973
104,-1567999.8,-249999.72,-1078.6387563631708
105,-1567499.8,-249999.72,-997.842742410166
106,-1566999.8,-249999.72,-1028.679809192752
107,-1566499.8,-249999.72,-910.8898494019436
108,-1565999.8,-249999.72,-797.0555609794812
109,-1565499.8,-249999.72,-682.3923900781349
110,-1564999.8,-249999.72,-965.62991999743
111,-1564499.8,-249999.72,-984.7972092025163
112,-1563999.8,-249999.72,-786.0868985948707
113,-1563499.8,-249999.72,-765.6608421933817
114,-1562999.8,-249999.72,-613.5356395362148
115,-1562499.8,-249999.72,-579.0262177331302
116,-1561999.8,-249999.72,-428.22611418483297
117,-1561499.8,-249999.72,-446.6642585480189
118,-1560999.8,-249999.72,-446.4089998006374
119,-1560499.8,-249999.72,-411.64862449156425
120,-1559999.8,-249999.72,-312.56688066085184
121,-1559499.8,-249999.72,-528.5134368517594
122,-1558999.8,-249999.72,-655.6764655347208
123,-1558499.8,-249999.72,-659.7821537204005
124,-1557999.8,-249999.72,-579.5440402652298
125,-1557499.8,-249999.72,-547.9808952326205
126,-1556999.8,-249999.72,-387.86660582214284
127,-1556499.8,-249999.72,-394.93321360251724
128,-1555999.8,-249999.72,-407.1971023636472
129,-1555499.8,-249999.72,-487.8658477093257
130,-1554999.8,-249999.72,-509.7371786672456
131,-1554499.8,-249999.72,-522.9302070447021
132,-1553999.8,-249999.72,-617.4502123569306
133,-1553499.8,-249999.72,-692.0650593312874
134,-1552999.8,-249999.72,-745.3077989330778
135,-1552499.8,-249999.72,-689.434445845242
136,-1551999.8,-249999.72,-659.2522767466652
137,-1551499.8,-249999.72,-712.6066039978272
138,-1550999.8,-249999.72,-757.6667499872009
139,-1550499.8,-249999.72,-735.0852888202539
140,-1549999.8,-249999.72,-710.1586985164
141,-1549499.8,-249999.72,-669.0168733384261
142,-1548999.8,-249999.72,-753.6775210485309
143,-1548499.8,-249999.72,-1114.2027586009062
144,-1547999.8,-249999.72,-1205.1696672616613
145,-1547499.8,-249999.72,-994.5187751099907
146,-1546999.8,-249999.72,-854.419972626586
147,-1546499.8,-249999.72,-848.0684331002623
148,-1545999.8,-249999.72,-837.0144531266353
149,-1545499.8,-249999.72,-841.2691716851592
150,-1544999.8,-249999.72,-832.0987626143891
151,-1544499.8,-249999.72,-804.2271880580595
152,-1543999.8,-249999.72,-774.8760785668886
153,-1543499.8,-249999.72,-771.6262951863063
154,-1542999.8,-249999.72,-839.4370408082882
155,-1542499.8,-249999.72,-894.2522297880685
156,-1541999.8,-249999.72,-928.3249478426445
157,-1541499.8,-249999.72,-952.9812295308076
158,-1540999.8,-249999.72,-958.8920271659681
159,-1540499.8,-249999.72,-969.6947488016191
160,-1539999.8,-249999.72,-982.0336219839662
161,-1539499.8,-249999.72,-995.8369018558399
162,-1538999.8,-249999.72,-1006.6929696308498
163,-1538499.8,-249999.72,-1032.5609281342686
