X,Y,Sum,Count,Bed,simulated,cluster,Norm_Bed
-233000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.159715993656891
-232000.0,-1800000.0,0.0,0.0,,1.0,3.0,-0.7421143837025889
-231000.0,-1800000.0,0.0,0.0,,1.0,3.0,-0.3896286581080096
-230000.0,-1800000.0,0.0,0.0,,1.0,3.0,-0.005188939004858145
-229000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.08013356375386002
-228000.0,-1800000.0,0.0,0.0,,1.0,3.0,0.4325766293711564
-227000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.5775266088220867
-226000.0,-1800000.0,60800.61,131.0,464.1268,0.0,3.0,1.2674856185913086
-225000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.3960185445796706
-224000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.13312560782754357
-223000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.5192323728959576
-222000.0,-1800000.0,0.0,0.0,,1.0,3.0,0.6365394557616558
-221000.0,-1800000.0,1300.5995,3.0,433.53317,0.0,12.0,0.9295209646224976
-220000.0,-1800000.0,1305.6517,3.0,435.21722,0.0,12.0,0.9541581273078918
-219000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.8524753581154418
-218000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.1981818751127215
-217000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.48022779137795496
-216000.0,-1800000.0,43507.82,131.0,332.12076,0.0,12.0,0.1453002691268921
-215000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.1908030495520071
-214000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.379535066885851
-213000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.5252282151601187
-212000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.7955650485918806
-211000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.19957095669660702
-210000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.254510680511052
-209000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.5234139740888751
-208000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.20131844229685814
-207000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.12579114350633336
-206000.0,-1800000.0,7730.9,20.0,386.545,0.0,12.0,0.4959525465965271
-205000.0,-1800000.0,8058.6,27.0,298.46667,0.0,12.0,-0.0567457415163517
-204000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.39776222606673994
-203000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.12389350590311743
-202000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.33957415304813343
-201000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.3168238955889847
-200000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.5246536417029606
-199000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.7068539712052876
-198000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.2043728885968849
-197000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.09018795978580946
-196000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.7856944673367636
-195000.0,-1800000.0,60009.61,152.0,394.80008,0.0,12.0,0.5632761716842651
-194000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.0671709142253259
-193000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.4287822676378214
-192000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.14006640117701863
-191000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.20969429154852606
-190000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.3468474799420417
-189000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.4860586084455516
-188000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.22833867646452977
-187000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.09008362715036553
-186000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.6737677121082171
-185000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.6428909408029307
