X,Y,Sum,Count,Bed,simulated,cluster,Norm_Bed
-300000.0,-1800000.0,0.0,0.0,,1.0,0.0,1.4861894715275445
-299000.0,-1800000.0,0.0,0.0,,1.0,0.0,0.35639510873755736
-298000.0,-1800000.0,40895.47,128.0,319.49585,0.0,0.0,0.06062840670347214
-297000.0,-1800000.0,0.0,0.0,,1.0,0.0,2.103902514644812
-296000.0,-1800000.0,0.0,0.0,,1.0,0.0,-0.010882160187730805
-295000.0,-1800000.0,0.0,0.0,,1.0,0.0,1.084721980261354
-294000.0,-1800000.0,0.0,0.0,,1.0,0.0,0.7007115905366454
-293000.0,-1800000.0,5920.788,44.0,134.56337,0.0,0.0,-0.8206730484962463
-292000.0,-1800000.0,0.0,0.0,,1.0,0.0,0.2332573402259926
-291000.0,-1800000.0,9127.22,44.0,207.43681,0.0,0.0,-0.5337379574775696
-290000.0,-1800000.0,900.3992,6.0,150.06653,0.0,0.0,-0.7549673318862915
-289000.0,-1800000.0,0.0,0.0,,1.0,0.0,0.8223482663780419
-288000.0,-1800000.0,69893.39,212.0,329.6858,0.0,0.0,0.12496251612901688
-287000.0,-1800000.0,0.0,0.0,,1.0,0.0,0.2223015856573909
-286000.0,-1800000.0,0.0,0.0,,1.0,0.0,0.6480153557687812
-285000.0,-1800000.0,0.0,0.0,,1.0,0.0,-0.9026636526018907
-284000.0,-1800000.0,0.0,0.0,,1.0,0.0,-0.566001841150178
-283000.0,-1800000.0,0.0,0.0,,1.0,0.0,1.3263978101788805
-282000.0,-1800000.0,0.0,0.0,,1.0,0.0,-0.6777193045086508
-281000.0,-1800000.0,0.0,0.0,,1.0,0.0,1.3572422634999444
-280000.0,-1800000.0,0.0,0.0,,1.0,0.0,0.11339547207745793
-279000.0,-1800000.0,0.0,0.0,,1.0,0.0,-0.860379679775994
-278000.0,-1800000.0,0.0,0.0,,1.0,0.0,0.17752064550727076
-277000.0,-1800000.0,0.0,0.0,,1.0,0.0,-0.7766584657206835
-276000.0,-1800000.0,0.0,0.0,,1.0,3.0,-0.8306389448204229
-275000.0,-1800000.0,0.0,0.0,,1.0,3.0,0.07557052011994747
-274000.0,-1800000.0,0.0,0.0,,1.0,0.0,-1.0975864949229035
-273000.0,-1800000.0,0.0,0.0,,1.0,0.0,-1.0962180042115806
-272000.0,-1800000.0,14999.301,116.0,129.30432,0.0,0.0,-0.844556987285614
-271000.0,-1800000.0,0.0,0.0,,1.0,0.0,0.659075502370975
-270000.0,-1800000.0,228.8935,1.0,228.8935,0.0,0.0,-0.41997405886650085
-269000.0,-1800000.0,260.7076,1.0,260.7076,0.0,0.0,-0.27198103070259094
-268000.0,-1800000.0,44368.32,150.0,295.7888,0.0,0.0,-0.07154177129268646
-267000.0,-1800000.0,0.0,0.0,,1.0,3.0,-0.7813799413901985
-266000.0,-1800000.0,4465.983,61.0,73.21284,0.0,0.0,-1.0875452756881714
-265000.0,-1800000.0,5156.095,45.0,114.57989,0.0,0.0,-0.9109824895858765
-264000.0,-1800000.0,8723.99,73.0,119.506714,0.0,0.0,-0.8854738473892212
-263000.0,-1800000.0,11114.36,70.0,158.77657,0.0,3.0,-0.7214505076408386
-262000.0,-1800000.0,66257.65,202.0,328.00818,0.0,3.0,0.11164842545986176
-261000.0,-1800000.0,26933.63,76.0,354.38986,0.0,3.0,0.27429497241973877
-260000.0,-1800000.0,2155.43,6.0,359.23834,0.0,3.0,0.302214115858078
-259000.0,-1800000.0,0.0,0.0,,1.0,0.0,0.5240926510724322
-258000.0,-1800000.0,21107.59,67.0,315.03867,0.0,3.0,0.03301546350121498
-257000.0,-1800000.0,0.0,0.0,,1.0,3.0,-0.6388396145166364
-256000.0,-1800000.0,0.0,0.0,,1.0,3.0,-0.14557135144370303
-255000.0,-1800000.0,0.0,0.0,,1.0,0.0,1.074610946144478
-254000.0,-1800000.0,0.0,0.0,,1.0,3.0,0.6202031808362838
-253000.0,-1800000.0,0.0,0.0,,1.0,3.0,-0.029125250980330808
-252000.0,-1800000.0,42795.11,138.0,310.1095,0.0,3.0,0.004396455362439156
-251000.0,-1800000.0,0.0,0.0,,1.0,3.0,1.0855546619441026
-250000.0,-1800000.0,0.0,0.0,,1.0,0.0,0.8431450088915695
-249000.0,-1800000.0,0.0,0.0,,1.0,3.0,-0.8394611406284554
