,x,y,bedrock_altitude (m)
0,-1619999.8,-249999.72,-421.9445811246874
1,-1619499.8,-249999.72,-342.5214475342984
2,-1618999.8,-249999.72,-273.1482833006964
3,-1618499.8,-249999.72,-245.00590771633262
4,-1617999.8,-249999.72,-359.23499957318666
5,-1617499.8,-249999.72,-513.3593496846069
6,-1616999.8,-249999.72,-502.60972481844766
7,-1616499.8,-249999.72,-295.6016649224812
8,-1615999.8,-249999.72,-367.27401670973575
9,-1615499.8,-249999.72,-340.4843425525187
10,-1614999.8,-249999.72,-190.48318122996508
11,-1614499.8,-249999.72,-262.2731189024306
12,-1613999.8,-249999.72,-232.46840087381733
13,-1613499.8,-249999.72,-200.28516862491372
14,-1612999.8,-249999.72,-312.6615642882612
15,-1612499.8,-249999.72,-302.95103905194367
16,-1611999.8,-249999.72,-285.63495555934225
17,-1611499.8,-249999.72,-371.8662040471941
18,-1610999.8,-249999.72,-439.1862975550602
19,-1610499.8,-249999.72,-255.79784279619176
20,-1609999.8,-249999.72,-272.6728525023329
21,-1609499.8,-249999.72,-14.926152920781478
22,-1608999.8,-249999.72,-82.36303985582838
23,-1608499.8,-249999.72,-31.43472806662143
24,-1607999.8,-249999.72,-242.19694815646528
25,-1607499.8,-249999.72,-306.181108099786
26,-1606999.8,-249999.72,-352.01169917461516
27,-1606499.8,-249999.72,-259.8748904547474
28,-1605999.8,-249999.72,-208.03887285430963
29,-1605499.8,-249999.72,-238.19500359953017
30,-1604999.8,-249999.72,-62.5425739235931
31,-1604499.8,-249999.72,-216.59155291869737
32,-1603999.8,-249999.72,-401.70574364514357
33,-1603499.8,-249999.72,-504.3543971809111
34,-1602999.8,-249999.72,-302.2138707733336
35,-1602499.8,-249999.72,-249.53775092933463
36,-1601999.8,-249999.72,-231.16163504923372
37,-1601499.8,-249999.72,-328.1899026814481
38,-1600999.8,-249999.72,-35.447056974661386
39,-1600499.8,-249999.72,-67.44204490548739
40,-1599999.8,-249999.72,-224.20645236552963
41,-1599499.8,-249999.72,-236.73974190722612
42,-1598999.8,-249999.72,-378.6856615503047
43,-1598499.8,-249999.72,-510.17363477620864
44,-1597999.8,-249999.72,-467.2987045909169
45,-1597499.8,-249999.72,-574.9758034799333
46,-1596999.8,-249999.72,-560.1337630257119
47,-1596499.8,-249999.72,-561.7499378346703
48,-1595999.8,-249999.72,-638.1365154786529
49,-1595499.8,-249999.72,-630.2983660504808
50,-1594999.8,-249999.72,-653.8300069627608
51,-1594499.8,-249999.72,-677.4950622330955
52,-1593999.8,-249999.72,-732.0999873582498
53,-1593499.8,-249999.72,-744.2199714349042
54,-1592999.8,-249999.72,-772.3428139850586
55,-1592499.8,-249999.72,-826.6800050106999
56,-1591999.8,-249999.72,-806.1991069542936
57,-1591499.8,-249999.72,-828.535788144207
58,-1590999.8,-249999.72,-842.7150969067595
59,-1590499.8,-249999.72,-1007.6551303768498
60,-1589999.8,-249999.72,-1046.8241699190135
61,-1589499.8,-249999.72,-1112.5442768250607
62,-1588999.8,-249999.72,-1115.9382977188227
63,-1588499.8,-249999.72,-1118.3106905685668
64,-1587999.8,-249999.72,-1127.761018564018
65,-1587499.8,-249999.72,-1204.009037527965
66,-1586999.8,-249999.72,-1228.1613774288141
67,-1586499.8,-249999.72,-1244.0038778698176
68,-1585999.8,-249999.72,-1249.2564814731957
69,-1585499.8,-249999.72,-1249.545221905965
70,-1584999.8,-249999.72,-1250.4078690417011
71,-1584499.8,-249999.72,-1275.503169425267
72,-1583999.8,-249999.72,-1264.3580620089426
73,-1583499.8,-249999.72,-1210.7476004425316
74,-1582999.8,-249999.72,-1168.3955666924066
75,-1582499.8,-249999.72,-1257.0600551464722
76,-1581999.8,-249999.72,-1269.8635337158676
77,-1581499.8,-249999.72,-1298.3065396597965
78,-1580999.8,-249999.72,-1282.73514103712
79,-1580499.8,-249999.72,-1334.5166300928074
80,-1579999.8,-249999.72,-1311.5838142483728
81,-1579499.8,-249999.72,-1315.6391584518901
82,-1578999.8,-249999.72,-1307.0747645327374
83,-1578499.8,-249999.72,-1312.7148925153415
84,-1577999.8,-249999.72,-1277.2033346410262
85,-1577499.8,-249999.72,-1288.7661767056125
86,-1576999.8,-249999.72,-1247.4727848758503
87,-1576499.8,-249999.72,-1169.2718704638658
88,-1575999.8,-249999.72,-1149.5729778821553
89,-1575499.8,-249999.72,-1182.0453941944147
90,-1574999.8,-249999.72,-1252.9787320890825
91,-1574499.8,-249999.72,-1175.2142434106174
92,-1573999.8,-249999.72,-1169.1580053641903
93,-1573499.8,-249999.72,-1211.5637644988337
94,-1572999.8,-249999.72,-1137.009038405433
95,-1572499.8,-249999.72,-1120.1870035841373
96,-1571999.8,-249999.72,-1168.2110545651776
97,-1571499.8,-249999.72,-1120.0518886335974
98,-1570999.8,-249999.72,-1115.0542026878518
99,-1570499.8,-249999.72,-926.8285120079286
100,-1569999.8,-249999.72,-1152.345570617367
101,-1569499.8,-249999.72,-1023.5062886324891
102,-1568999.8,-249999.72,-1028.4446361704936
103,-1568499.8,-249999.72,-937.710338643296
104,-1567999.8,-249999.72,-1011.7016206680244
105,-1567499.8,-249999.72,-916.7188671067928
106,-1566999.8,-249999.72,-1028.679809192752
107,-1566499.8,-249999.72,-903.0975708717029
108,-1565999.8,-249999.72,-915.7650460865647
109,-1565499.8,-249999.72,-814.7446376409034
110,-1564999.8,-249999.72,-823.7605934683033
